pris,mil,ar,hk,cc,bransle,vaxellada,drivning,datum_i_trafik,marke,modell,biltyp,saljare,farg,alder,log_pris,log_mil
259000,9985,2019,192,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Företag,Grå,6,12.464583340681674,9.208839245849916
289000,9400,2019,191,1969,Bensin,Automat,Fyrhjulsdriven,NA,Volvo,XC40,SUV,Företag,Grå (Osmium Grå Metallic ),6,12.57418196709457,9.148464968258095
17000,43000,2004,141,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V70,NA,Privat,Röd,21,9.740968623038354,10.668955394675699
28900,20798,2004,141,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,S60,Sedan,Företag,Ljusgrå (Grå),21,10.271596874100524,9.942612107220178
61997,2840,2022,130,1477,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Privat,Svart,3,11.034841275759762,7.951559331155252
15000,22521,2004,164,1948,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V40,Kombi,Privat,Grå,21,9.615805480084347,10.022203486241112
227300,15837,2018,255,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Företag,Svart,7,12.334026009840635,9.670104253491726
119900,15839,2015,120,1596,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V40,Halvkombi,Företag,Vit,10,11.694413341015606,9.670230532062421
12000,28857,1998,145,2435,Bensin,Manuell,Tvåhjulsdriven,NA,Volvo,V70,NA,Privat,Blå,27,9.392661928770137,10.270107876820726
334900,5062,2020,253,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,XC60,SUV,Företag,Vit,5,12.721587258782296,8.529516941105069
319900,4960,2021,200,1969,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Företag,Vit,4,12.675763725937609,8.509161019718974
344900,3100,2021,131,1477,Bensin,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Röd,4,12.751009798924933,8.039157390473237
509000,17282,2021,238,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Svart,4,13.14020329553266,9.757420776401345
264500,9650,2020,192,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Företag,Silver,5,12.48559653028049,9.174713194333032
394500,4046,2023,200,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,XC60,SUV,Företag,Svart,2,12.885374419268066,8.305484017727691
379500,11984,2022,200,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,V90 Cross Country,SUV,Företag,Svart,3,12.84660987581782,9.391327705757
229900,12460,2016,200,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Svart,9,12.345399710751273,9.430278792341444
217900,7485,2018,191,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V60,Coupé,Företag,Vit,7,12.291791520932712,8.920656296853728
185000,11607,2018,150,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Privat,Svart,7,12.128111104060462,9.359363643368622
29500,61900,2013,116,1560,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Vit,12,10.292145542327912,11.033275458672687
33500,23460,2006,136,1997,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Privat,Grå,19,10.419300717813158,10.063052122207466
65000,21300,2011,116,1560,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Privat,Röd,14,11.082142548877775,9.966462351697517
44000,29860,2008,136,1997,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Brun,17,10.691944912900398,10.304275071093182
53000,23400,2011,109,1560,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Brun,14,10.87804719253426,10.060491301345794
629000,138,2024,414,NA,El,Automat,Fyrhjulsdriven,NA,Volvo,XC40,SUV,Företag,Vit,1,13.351886535682578,4.927253685157205
559900,0,2024,275,NA,El,Automat,Tvåhjulsdriven,NA,Volvo,EX30,SUV,Företag,Svart,1,13.235513475336985,NA
559900,0,2024,275,NA,El,Automat,Tvåhjulsdriven,NA,Volvo,EX30,SUV,Företag,Vit,1,13.235513475336985,NA
619900,508,2024,414,NA,El,Automat,Fyrhjulsdriven,NA,Volvo,XC40,SUV,Företag,Grå,1,13.33731345369001,6.230481447578482
449900,1962,2023,234,NA,El,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Ljusgrå (Grå),2,13.016780614829264,7.581719640125308
449900,2276,2023,234,NA,El,Automat,Tvåhjulsdriven,NA,Volvo,C40,SUV,Företag,Svart,2,13.016780614829264,7.730174795246222
419900,5093,2023,234,NA,El,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Svart,2,12.947771866672285,8.535622326884605
469900,2682,2022,414,NA,El,Automat,Fyrhjulsdriven,NA,Volvo,C40,SUV,Företag,Blå,3,13.060275185090907,7.894318063841624
459900,4258,2021,414,NA,El,Automat,Fyrhjulsdriven,NA,Volvo,XC40,SUV,Företag,Blå,4,13.038764353528014,8.356554845453426
439900,5760,2021,414,NA,El,Automat,Fyrhjulsdriven,NA,Volvo,XC40,SUV,Företag,Grå,4,12.99430270733681,8.658692753689937
599900,501,2024,256,NA,El,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Blå,1,13.304518253641184,6.2166061010848646
549900,221,2024,256,NA,El,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Silver,1,13.217491722495906,5.3981627015177525
479900,1051,2023,234,NA,El,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Silver,2,13.081333027846338,6.957497370876951
359000,12900,2018,408,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Vit,7,12.791077667470416,9.464982590349763
389800,7445,2020,391,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V90,Kombi,Företag,Grå,5,12.873389066055598,8.915297945118109
404900,7583,2019,391,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Röd,6,12.911395402020252,8.933664178700935
324900,8201,2020,304,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V90,Kombi,Företag,Grå (Savile Grey Metallic),5,12.691272721657192,9.012011377036412
32000,22698,2009,126,1798,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Privat,Blå,16,10.373491181781864,10.030032093861085
439500,8596,2020,396,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Svart,5,12.993392996107369,9.059052257762401
493900,8351,2018,407,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Vit,7,13.110088346528716,9.03013657115323
442900,3423,2022,262,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Svart,3,13.00109928991129,8.138272638530186
359900,6608,2022,211,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Svart,3,12.793581494067123,8.796036315200814
189900,16021,2014,283,2400,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Vit,11,12.154252896800378,9.681655640646714
368800,11778,2018,408,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Ljusbrun (Lbrun),7,12.818009770664576,9.373988663504516
424900,9100,2021,304,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Svart,4,12.959609126102903,9.116029692504942
109900,25498,2014,214,1984,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Företag,Grå,11,11.607326140391713,10.146355296698067
169800,9000,2016,120,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V40,Halvkombi,Företag,Svart,9,12.042376552859384,9.104979856318357
349900,6814,2022,200,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,V60 Cross Country,Kombi,Företag,Grå,3,12.765402678355779,8.826734598220911
289900,12021,2021,200,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Företag,Vit,4,12.577291314909747,9.394410399304254
369900,7053,2021,200,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Mörkgrå (Grå),4,12.820987977820545,8.86120833720818
219000,17173,2016,181,2400,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC70,Kombi,Privat,Silver,9,12.296827008798639,9.751093661983862
359100,2163,2023,200,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Företag,Silver,2,12.791356180214175,7.679251425953058
339900,8848,2021,200,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,V90,Kombi,Företag,Vit,4,12.736406735684207,9.087946723762116
289000,12783,2021,200,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,V60 Cross Country,Kombi,Företag,Svart,4,12.57418196709457,9.455871442168021
579000,8948,2021,238,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Grå,4,13.269057756555132,9.09918532261002
359900,10064,2021,200,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,V90 Cross Country,SUV,Företag,Vit,4,12.793581494067123,9.216719978940223
194800,19629,2019,151,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Vit,6,12.179728670190572,9.884763343537848
559000,11979,2021,238,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Mörkblå (Blå),4,13.233904752137237,9.39091039573133
299900,9459,2020,192,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,V90,Kombi,Företag,Vit,5,12.6112043647371,9.15472194821317
225000,12999,2018,150,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,S90,Sedan,Privat,Svart,7,12.323855681186558,9.47262771040802
219800,6963,2018,150,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Företag,Grå,7,12.300473320951658,8.848365694942547
189800,12290,2016,181,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Företag,Brun,9,12.153726165157964,9.416541202560081
189800,18427,2018,150,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Företag,Vit,7,12.153726165157964,9.8215722593348609
199800,12861,2014,181,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Företag,Vit,11,12.20507214519659,9.461954755266087
129800,15758,2015,116,1560,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Företag,Vit,10,11.773750083252127,9.665103451805633
335000,16533,2016,225,1969,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Privat,Vit,9,12.721885810807203,9.713113662551345
128900,14679,2015,116,1560,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,V40,Halvkombi,Företag,Svart,10,11.766792188927278,9.594173179957233
159999,22900,2018,150,1969,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,S90,Sedan,Privat,Silver,7,11.982922844196432,10.03889218954233
219800,21542,2017,221,2400,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC60,Kombi,Företag,Vit (Ice Vit),8,12.300473320951658,9.977759796910716
230000,7500,2019,150,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Privat,Vit,6,12.345834587905333,8.922658299524402
104900,22398,2009,185,2400,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Silver,16,11.560762794384388,10.016726948142638
213900,10121,2016,191,2400,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,V60 Cross Country,Kombi,Företag,Brun,9,12.273263895070498,9.222367752188902
199900,19635,2014,215,2400,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Röd,11,12.205572520488492,9.88506896701211
178900,10714,2017,120,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V40,Halvkombi,Företag,Svart,8,12.09458226949681,9.279306576440906
159900,15100,2017,191,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Företag,Grå,8,11.982303898822046,9.622450022803015
254800,8200,2020,191,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Företag,Vit,5,12.448234202680146,9.011889433252344
154900,16700,2016,150,1969,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,V60 Cross Country,Kombi,Företag,Vit,9,11.95053502640496,9.723163998404846
289500,9280,2021,191,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V90,Kombi,Företag,Vit,4,12.575910575995186,9.135616825780247
174900,17500,2016,191,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V60 Cross Country,SUV,Företag,Brun (Brown),9,12.071969661006694,9.769956159911606
69900,15440,2010,109,1560,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Företag,Ljusgrå (Grå),15,11.154820928221902,9.644716823578767
109900,20410,2012,116,1560,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Företag,Svart,13,11.607326140391713,9.92378025580389
159800,14300,2015,191,1969,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,V40,Halvkombi,Företag,Vit,10,11.981678312314312,9.568014816247999
149800,11701,2013,136,1984,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,S60,Sedan,Företag,Svart,12,11.917056350065256,9.367429587218957
209800,11322,2018,120,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V40,Halvkombi,Företag,Svart,7,12.253909974944333,9.334503014596605
139900,10900,2014,115,1560,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Företag,Blå,11,11.848683160653573,9.296518068217235
229800,8225,2017,150,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V40 Cross Country,Halvkombi,Företag,Vit,8,12.344964644396793,9.014933575633572
249800,10658,2019,150,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Grå,6,12.428415876673615,9.274066062856727
179800,16551,2016,150,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Företag,Silver,9,12.099600401019657,9.71420180194054
79900,18640,2012,116,1560,Diesel,Manuell,Tvåhjulsdriven,NA,Volvo,S60,Sedan,Privat,Grå,13,11.288531131754366,9.833065088239582
9500,39112,2006,185,2400,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Grå,19,9.159047077588632,10.574184604258482
168000,12200,2015,181,1969,Diesel,Automat,Tvåhjulsdriven,NA,Volvo,V60,Kombi,Privat,Svart,10,12.031719258385396,9.409191230721348
62000,35881,2010,206,2400,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC70,Kombi,Privat,Röd,15,11.03488966402723,10.487963186464397
209900,9927,2014,181,2400,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,V70,Kombi,Företag,Röd,11,12.254386505808725,9.203013596589722
98800,33015,2011,206,2400,Diesel,Automat,Fyrhjulsdriven,NA,Volvo,XC70,Kombi,Företag,Ljusbrun (Lbrun),14,11.50085288373596,10.404717282628672
